Wall time,Step,Value
1600714543.547444,0,0.6602822542190552
1600714727.8925292,1,0.6291537284851074
1600714909.0563433,2,0.6191920042037964
1600715082.6890473,3,0.6062819957733154
1600715251.6157963,4,0.5917243957519531
1600715419.160417,5,0.5716431140899658
1600715587.472185,6,0.5473262667655945
1600715757.4708064,7,0.5175598859786987
1600715933.367209,8,0.4821670949459076
1600716104.466627,9,0.44836097955703735
1600716275.4360962,10,0.41619259119033813
1600716415.1551423,11,0.3913610875606537
1600716540.536947,12,0.36630550026893616
1600716665.9371624,13,0.34443777799606323
1600716791.3272238,14,0.3246898949146271
1600716916.7486084,15,0.305227130651474
1600717042.0735047,16,0.2923095226287842
1600717167.4047806,17,0.27895331382751465
1600717292.800159,18,0.2674011290073395
1600717418.2230577,19,0.2528292238712311
1600717543.551693,20,0.24308404326438904
1600717668.9256082,21,0.23226085305213928
1600717794.1262395,22,0.22281600534915924
1600717919.450965,23,0.21439209580421448
1600718044.7450259,24,0.2055514007806778
1600718170.163521,25,0.1990162879228592
1600718295.578184,26,0.19019906222820282
1600718420.9213748,27,0.18467235565185547
1600718546.2842653,28,0.17695893347263336
1600718671.8692887,29,0.1705082207918167
1600718797.5107896,30,0.16580872237682343
1600718923.0450296,31,0.1579565852880478
1600719048.7907412,32,0.15527787804603577
1600719174.5129583,33,0.1494966298341751
1600719300.0443902,34,0.1452435851097107
1600719425.7428958,35,0.14015087485313416
1600719551.3977804,36,0.1372072845697403
1600719676.896652,37,0.13157758116722107
1600719802.248512,38,0.12810452282428741
1600719927.5662465,39,0.12554840743541718
1600720052.9896264,40,0.12252005934715271
1600720178.283546,41,0.11860598623752594
1600720303.6354086,42,0.11490892618894577
1600720428.8722866,43,0.11193564534187317
1600720554.2078347,44,0.1113230437040329
1600720679.61639,45,0.10773247480392456
1600720804.898215,46,0.10748416185379028
1600720930.1760025,47,0.10598229616880417
1600721055.4923012,48,0.1010122001171112
1600721180.810087,49,0.10035979747772217
