Wall time,Step,Value
1601647063.663982,0,12.62396240234375
1601647191.47839,1,8.399953842163086
1601647320.0576425,2,7.636188507080078
1601647448.7000318,3,7.022944450378418
1601647577.4641182,4,6.403238296508789
1601647706.1076663,5,5.668298244476318
1601647834.5851805,6,5.006475925445557
1601647962.9057744,7,4.411597728729248
1601648091.3435411,8,3.8243491649627686
1601648219.3799703,9,3.2802982330322266
1601648347.6226466,10,2.7911810874938965
1601648475.9523895,11,2.4334158897399902
1601648604.2421167,12,2.062671184539795
1601648732.4532514,13,1.7428146600723267
1601648860.7802022,14,1.4997941255569458
1601648988.8818107,15,1.3006001710891724
1601649117.8313987,16,1.1607176065444946
1601649246.951574,17,1.04148530960083
1601649376.1512449,18,0.9341652393341064
1601649505.311349,19,0.829460620880127
1601649634.2451904,20,0.7666674852371216
1601649763.2294548,21,0.6740075945854187
1601649892.2240598,22,0.6468455195426941
1601650021.218639,23,0.5727713704109192
1601650150.3447754,24,0.5214954614639282
1601650279.3375657,25,0.4952404797077179
1601650408.466684,26,0.45383787155151367
1601650537.4934688,27,0.4247432053089142
1601650666.487006,28,0.39734771847724915
1601650795.4665585,29,0.36437469720840454
1601650924.574914,30,0.34482085704803467
1601651053.7081215,31,0.32103273272514343
1601651182.8650854,32,0.30740100145339966
1601651311.3470817,33,0.29453539848327637
1601651439.4383376,34,0.2796586751937866
1601651567.5838113,35,0.25913792848587036
1601651695.7863803,36,0.24784590303897858
1601651824.0591264,37,0.245437353849411
1601651952.1476798,38,0.22553512454032898
1601652080.0771298,39,0.2148861438035965
1601652208.6565547,40,0.20969663560390472
1601652337.6723976,41,0.19913725554943085
1601652466.6839225,42,0.19707070291042328
1601652595.6776338,43,0.18821808695793152
1601652724.821875,44,0.17474284768104553
1601652853.6543298,45,0.16767768561840057
1601652981.8652887,46,0.17057928442955017
1601653109.8807187,47,0.15772058069705963
1601653237.9959235,48,0.15413306653499603
1601653366.258742,49,0.15164726972579956
